Date,Weight
2021-11-25,85.8
2021-11-27,85.5
2021-12-06,84
2021-12-07,83
2021-12-23,81.9
2021-12-27,81
2022-01-04,79.5
2022-01-13,78.6
2022-01-19,80
2022-01-24,78.9
2022-02-07,81.5
2022-02-23,78.7
2022-02-24,78.8
2022-02-25,77.8
2022-02-28,78.2
2022-03-04,79
2022-03-06,78.4
2022-03-07,78.2
2022-03-08,78.7
2022-03-10,79.8
2022-03-13,80
2022-03-15,78.8
2022-03-16,79.6
2022-03-23,77.9
2022-03-26,78.4
2022-03-28,77.6
2022-04-01,79.4
2022-04-03,79.9
2022-04-04,79
2022-04-20,79.4
2022-05-28,82
2022-07-07,78
2022-07-12,76.8
2022-07-14,75.8
2022-07-16,77.6
